종목코드,종목명
005930,삼성전자
000660,SK하이닉스
005380,현대차
373220,LG에너지솔루션
207940,삼성바이오로직스
402340,SK스퀘어
012450,한화에어로스페이스
034020,두산에너빌리티
000270,기아
105560,KB금융
329180,HD현대중공업
068270,셀트리온
028260,삼성물산
032830,삼성생명
055550,신한지주
042660,한화오션
006800,미래에셋증권
012330,현대모비스
035420,NAVER
267260,HD현대일렉트릭
006400,삼성SDI
009150,삼성전기
010130,고려아연
086790,하나금융지주
015760,한국전력
005490,POSCO홀딩스
042700,한미반도체
009540,HD한국조선해양
000250,삼천당제약
298040,효성중공업
316140,우리금융지주
034730,SK
010120,LS ELECTRIC
272210,한화시스템
010140,삼성중공업
051910,LG화학
035720,카카오
000810,삼성화재
196170,알테오젠
086520,에코프로
064350,현대로템
267250,HD현대
247540,에코프로비엠
138040,메리츠금융지주
000150,두산
024110,기업은행
096770,SK이노베이션
011200,HMM
003670,포스코퓨처엠
047810,한국항공우주
066570,LG전자
033780,KT&G
086280,현대글로비스
017670,SK텔레콤
000720,현대건설
079550,LIG넥스원
030200,KT
003550,LG
352820,하이브
0126Z0,삼성에피스홀딩스
047050,포스코인터내셔널
010950,S-Oil
005940,NH투자증권
071050,한국금융지주
278470,에이피알
018260,삼성에스디에스
259960,크래프톤
005830,DB손해보험
323410,카카오뱅크
039490,키움증권
277810,레인보우로보틱스
307950,현대오토에버
950160,코오롱티슈진
298380,에이비엘바이오
003490,대한항공
003230,삼양식품
016360,삼성증권
090430,아모레퍼시픽
006260,LS
000880,한화
443060,HD현대마린솔루션
007660,이수페타시스
000100,유한양행
058470,리노공업
180640,한진칼
326030,SK바이오팜
141080,리가켐바이오
011070,LG이노텍
047040,대우건설
377300,카카오페이
161390,한국타이어앤테크놀로지
028300,HLB
128940,한미약품
087010,펩트론
032640,LG유플러스
028050,삼성E&A
029780,삼성카드
267270,HD건설기계
078930,GS
066970,엘앤에프
009830,한화솔루션
052690,한전기술
001040,CJ
064400,LG씨엔에스
240810,원익IPS
310210,보로노이
034220,LG디스플레이
175330,JB금융지주
138930,BNK금융지주
241560,두산밥캣
088980,맥쿼리인프라
454910,두산로보틱스
001440,대한전선
095340,ISC
271560,오리온
450080,에코프로머티
021240,코웨이
214370,케어젠
039030,이오테크닉스
036570,엔씨소프트
004020,현대제철
022100,포스코DX
062040,산일전기
002380,KCC
251270,넷마블
353200,대덕전자
088350,한화생명
018880,한온시스템
226950,올릭스
489790,한화비전
032820,우리기술
035250,강원랜드
082740,한화엔진
031210,서울보증보험
263750,펄어비스
051900,LG생활건강
403870,HPSP
011790,SKC
108490,로보티즈
000990,DB하이텍
012510,더존비즈온
111770,영원무역
103590,일진전기
011170,롯데케미칼
214150,클래시스
0009K0,에임드바이오
347850,디앤디파마텍
001720,신영증권
017800,현대엘리베이터
302440,SK바이오사이언스
010060,OCI홀딩스
009420,한올바이오파마
237690,에스티팜
043260,성호전자
439260,대한조선
011780,금호석유화학
036460,한국가스공사
012750,에스원
036930,주성엔지니어링
097950,CJ제일제당
004990,롯데지주
214450,파마리서치
023530,롯데쇼핑
004170,신세계
145020,휴젤
476830,알지노믹스
014680,한솔케미칼
085620,미래에셋생명
357780,솔브레인
140410,메지온
009970,영원무역홀딩스
083650,비에이치아이
319400,현대무벡스
139130,iM금융지주
457190,이수스페셜티케미컬
001450,현대해상
005850,에스엘
139480,이마트
026960,동서
084370,유진테크
051600,한전KPS
440110,파두
028670,팬오션
064760,티씨케이
003690,코리안리
008930,한미사이언스
103140,풍산
071970,HD현대마린엔진
178320,서진시스템
279570,케이뱅크
000240,한국앤컴퍼니
068760,셀트리온제약
112610,씨에스윈드
375500,DL이앤씨
336260,두산퓨얼셀
347700,스피어
383220,F&F
000120,CJ대한통운
001430,세아베스틸지주
058610,에스피지
204320,HL만도
005290,동진쎄미켐
319660,피에스케이
475830,오름테라퓨틱
007340,DN오토모티브
257720,실리콘투
004800,효성
004370,농심
030530,원익홀딩스
018670,SK가스
030000,제일기획
192820,코스맥스
035900,JYP Ent.
097230,HJ중공업
005440,현대지에프홀딩스
218410,RFHIC
006360,GS건설
002790,아모레퍼시픽홀딩스
282330,BGF리테일
011210,현대위아
020150,롯데에너지머티리얼즈
120110,코오롱인더
023590,다우기술
081660,미스토홀딩스
031980,피에스케이홀딩스
017960,한국카본
222800,심텍
041510,에스엠
067310,하나마이크론
039200,오스코텍
131970,두산테스나
099320,쎄트렉아이
078600,대주전자재료
007810,코리아써키트
376900,로킷헬스케어
089030,테크윙
445680,큐리옥스바이오시스템즈
003540,대신증권
483650,달바글로벌
069620,대웅제약
462870,시프트업
069960,현대백화점
161890,한국콜마
491000,리브스메드
098460,고영
008770,호텔신라
085660,차바이오텍
290650,엘앤씨바이오
001120,LX인터내셔널
140860,파크시스템스
082270,젬백스
000500,가온전선
038500,삼표시멘트
073240,금호타이어
323280,태성
006040,동원산업
101490,에스앤에스텍
475150,SK이터닉스
361610,SK아이이테크놀로지
007070,GS리테일
006280,녹십자
100790,미래에셋벤처투자
298020,효성티앤씨
012630,HDC
100090,SK오션플랜트
005070,코스모신소재
003380,하림지주
003570,SNT다이내믹스
034230,파라다이스
065350,신성델타테크
001800,오리온홀딩스
437730,삼현
032350,롯데관광개발
082920,비츠로셀
090710,휴림로봇
003530,한화투자증권
232140,와이씨
115180,큐리언트
195940,HK이노엔
030610,교보증권
294870,HDC현대산업개발
060370,LS마린솔루션
397030,에이프릴바이오
020560,아시아나항공
082640,동양생명
010170,대한광통신
007310,오뚜기
174900,앱클론
003090,대웅
080220,제주반도체
322000,HD현대에너지솔루션
189300,인텔리안테크
388210,씨엠티엑스
229640,LS에코에너지
048410,현대바이오
281740,레이크머티리얼즈
181710,NHN
077970,STX엔진
052020,에스티큐브
004000,롯데정밀화학
003240,태광산업
000210,DL
213420,덕산네오룩스
035760,CJ ENM
127120,제이에스링크
417200,LS머트리얼즈
456160,지투지바이오
466100,클로봇
